Year,SB
1960,725830
1961,733397.125
1962,736014
1963,744283.75
1964,783432.875
1965,791496.125
1966,777183.25
1967,736454.125
1968,663128.75
1969,576192
1970,485939.5
1971,426790.625
1972,388361.875
1973,350463.125
1974,318961.5
1975,303635.25
1976,313345.375
1977,344126.625
1978,365030.25
1979,374728.125
1980,361154.5
1981,325567.125
1982,293808.5
1983,277284.25
1984,278271.125
1985,290215.875
1986,301230.375
1987,311470.375
1988,299294.625
1989,274441.125
1990,278159.375
1991,301370.75
1992,323184.375
1993,337007.5
1994,331405
1995,338129.75
1996,351618.625
1997,369027.375
1998,365551.75
1999,357203.75
2000,342334
2001,324112
2002,303474
2003,282391.7
2004,274056.625
2005,298759.625
2006,333584.375
2007,343866.625
2008,332690.25
2009,320994
2010,302130.625
2011,292708.5
2012,300975.25
2013,310571.125
2014,328974.25
2015,333468.5
2016,327975.375
2017,312898.625
2018,277225.85
2019,224090.55
